EAN,,
COLLECTION 2011/2012,,
HAVAIANAS BRASIL,,
EAN CODE,,
4000032 - SANDALIAS HAVAIANAS BRASIL,,
7000106 - HAVAIANAS BRASIL PREP CX FECHADA,,
7000206 - HAVAIANAS BRASIL PREP EXP CX GRADE,,
7005468 - HAVAIANAS BRASIL CX GRADE USA,,
7005481 - HAVAIANAS BRASIL CX FECHADA USA,,
COR / COLOR,BRA SIZE / USA SIZE / EUR SIZE,EAN CODE
2619 - AMAZONIA / AMAZONIA / AMAZONIA,434 / 10/11 / 45/46,37891109283531
2619 - AMAZONIA / AMAZONIA / AMAZONIA,456 / 12 / 47/48,37891109283548
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,334 / 3 / 35/36,37891109160177
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,356 / 4/5 / 37/38,37891109160184
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,378 / 6 / 39/40,37891109160191
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,390 / 7/8 / 41/42,37891109160207
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,412 / 9 / 43/44,37891109160214
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,434 / 10/11 / 45/46,37891109160221
2711 - AZUL NAVAL / MARINE BLUE / AZUL NAVAL,456 / 12 / 47/48,37891109160238
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,334 / 3 / 35/36,37895265301870
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,356 / 4/5 / 37/38,37895265301887
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,378 / 6 / 39/40,37895265301894
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,390 / 7/8 / 41/42,37895265301900
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,412 / 9 / 43/44,37895265301917
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,434 / 10/11 / 45/46,37895265301924
3445 - ICE VIOLETA / ICE VIOLET / ICE VIOLACEO,456 / 12 / 47/48,37895265301931
,,10/14
,,,7000206-D00,,,
,,,COLLECTION 2011/2012,,,
,,,HAVAIANAS BRASIL,,,
,,,PRE PACK,,,
STYLE CODE,STYLE,COR / COLOR,SIZE(FROM) - BRA/USA/EUR,SIZE(TO) - BRA/USA/EUR,PRE PACK,DUN CODE
7000206,HAVAIANAS BRASIL PREP EXP CX GRA0001-BRANCO / WHITE / BLANCO,HAVAIANAS BRASIL PREP EXP CX GRA0001-BRANCO / WHITE / BLANCO,334 / 3 / 35/36,390 / 7/8 / 41/42,F12,07891109758410
7000206,HAVAIANAS BRASIL PREP EXP CX GRA0090-PRETO / BLACK / NEGRO,HAVAIANAS BRASIL PREP EXP CX GRA0090-PRETO / BLACK / NEGRO,334 / 3 / 35/36,390 / 7/8 / 41/42,F12,07891109759141
7000206,HAVAIANAS BRASIL PREP EXP CX GRA0324-CINZA / GREY / GRIS,HAVAIANAS BRASIL PREP EXP CX GRA0324-CINZA / GREY / GRIS,334 / 3 / 35/36,390 / 7/8 / 41/42,F12,07891109759806
